gene	jh44	jh45	jh46	jh47	jh61	jh62	jh63	jh64
ybaY	1071	6902	209	286	822	6840	67	269
tesB	2738	4212	527	312	2005	3646	189	183
ybaO	311	177	121	34	322	192	46	39
cof	240	343	274	218	162	281	104	123
mdlB	295	265	284	98	261	247	130	81
mdlA	355	309	433	183	350	329	170	170
fhuA	4089	4431	1327	711	8723	6690	1155	604
mrcB	2127	1820	1391	529	2353	1899	622	475
hrpB	754	568	800	303	695	708	323	220
ligT	250	121	176	44	163	119	76	31
sfsA	755	290	358	140	640	280	191	124
dksA	16304	21096	3336	1734	16396	15192	1777	1213
gluQ	213	170	260	117	347	181	132	104
pcnB	4668	3386	2816	1051	4988	3515	1163	783
napB	152	1325	58	102	161	1008	26	59
napH	57	172	112	182	53	187	66	113
yfjX	4	1	4	1	2	4	1	7
yfjY	6	7	11	2	3	5	5	6
fhuD	220	132	115	49	374	249	104	56
fhuC	331	391	157	70	536	510	149	81
ydiJ	2503	4095	1017	655	1853	3802	322	447
ydiI	580	862	166	140	421	624	63	50
sgcC	17	27	45	49	12	23	26	28
sufS	278	307	166	117	204	318	79	98
sufE	97	104	43	13	76	117	9	11
sufC	308	368	98	53	303	490	36	19
sufD	252	276	127	83	237	484	54	39
sufA	224	298	47	36	135	295	26	21
sufB	307	362	167	100	267	424	63	65
ydiH	661	1369	45	37	340	1193	13	47
pta	40436	23857	9604	3150	38132	35988	4344	2782
lptF	1505	1346	1018	373	1472	1313	320	274
livG	33	107	36	39	39	74	26	24
ackA	33067	57509	6458	4898	32174	49938	2871	3194
argI	212	217	69	28	108	223	20	25
mqo	2122	29617	838	3822	3479	28914	495	1964
prkB	694	1296	242	156	523	979	103	86
yfcC	153	16	86	46	126	32	61	37
yjgM	1182	1019	299	123	1126	824	85	52
yeiL	8	31	4	5	7	33	2	5
efp	39862	20487	5404	1065	40325	22077	2164	977
psuT	10	39	32	62	14	31	15	85
cutA	319	377	191	72	175	277	58	35
yhhA	368	368	66	40	169	320	19	21
yicC	4417	4314	964	409	3007	3746	306	284
yfbV	1147	6513	241	524	736	4786	105	325
dsbD	2377	1776	851	361	1888	1887	263	209
yfbU	3030	9178	392	424	1877	7589	131	252
