gene	jh44	jh45	jh46	jh47	jh61	jh62	jh63	jh64
pnp	30453	35214	9031	4691	44600	36678	5294	3092
nrfF	6	28	9	7	4	11	9	3
yiiF	31	70	15	12	26	44	7	3
murG	1218	1207	821	319	1345	1127	414	221
ftsW	843	651	1001	377	963	687	450	238
fdhE	5547	3976	2274	950	6149	4485	1118	700
rsmH	2294	3069	1250	740	2248	2526	547	458
mraZ	305	513	812	423	473	471	379	343
ftsI	1316	1613	2301	1350	1492	1471	1356	1118
ftsL	400	388	450	251	287	311	261	198
murF	2786	1875	1468	480	3063	1925	690	382
murE	3687	2677	1915	706	3962	2947	873	538
murD	2655	2249	1279	512	2728	2439	628	322
mraY	1732	1677	1091	379	2211	1972	478	294
yjeV	0	2	1	4	1	0	1	2
queG	321	170	263	83	255	192	94	68
yoaA	331	317	439	163	288	298	164	160
yeaZ	2211	1314	630	197	2118	1448	256	146
yfeO	45	174	42	53	44	163	15	46
yeaY	838	566	458	158	716	467	195	130
gcvA	840	1001	404	225	892	819	147	213
ygdI	633	2596	81	109	448	1976	35	69
fadD	888	1937	385	343	1264	1592	195	199
csdE	1451	800	458	189	1226	812	195	142
csdL	1988	1517	825	282	1613	1725	309	223
mltA	2936	4505	1149	732	2383	3374	391	462
coaA	2599	1464	531	160	2055	1282	150	113
pabB	685	767	223	125	595	650	71	77
tatA	4504	3853	1017	302	2429	2906	306	204
tufB	73797	41975	9864	2953	79190	52752	4285	2261
secE	6048	4863	2482	1192	7119	5364	1051	730
yoaH	459	379	92	50	314	298	28	22
fliM	5768	8941	3152	1871	5167	7763	1153	1226
fliN	4060	3579	1378	571	3958	3465	542	348
fliK	3072	1813	1222	349	2486	1766	595	399
fliL	4262	7525	2059	1653	4082	6331	803	1122
fliQ	407	269	251	92	230	247	97	80
yoaC	126	412	46	44	140	319	28	27
fliO	635	617	1161	468	743	611	600	350
fliP	1548	1278	997	383	1490	1363	366	283
rcsA	475	267	157	30	294	172	37	33
yoaB	3679	7419	414	260	2375	5271	153	115
yeaG	145	1277	103	164	95	2093	32	156
yedE	1023	913	448	233	3560	1772	575	271
yedF	405	565	52	30	1054	703	72	30
trmH	1360	593	848	246	1082	719	362	188
yjbR	800	1778	130	79	513	1287	42	61
yjbQ	363	390	194	123	236	368	62	88
fliZ	4391	5844	1260	937	3508	4897	367	603
fliA	5517	8763	4302	3838	3530	7290	1496	2231
fliC	422958	564302	52400	29116	235503	640744	13647	19887
fliD	20006	24174	3854	2675	10343	25059	1042	1830
fliS	4726	9983	943	781	2987	8818	259	485
fliT	747	1799	619	559	451	1639	162	339
amyA	494	807	573	502	290	855	171	319
yedD	2537	4095	472	218	1801	3860	209	170
yhbO	29	203	9	13	5	211	5	12
yeaH	25	88	69	53	28	86	26	61
scpB	193	113	43	9	136	108	15	7
scpC	41	20	76	28	39	23	19	26
ygfI	59	45	39	22	55	38	26	22
yggE	9032	3526	1400	290	5117	3686	398	208
argP	2603	3403	515	280	2260	2746	239	161
scpA	35	32	72	34	57	23	36	20
argK	7	6	39	13	17	7	12	14
argO	619	274	193	59	628	287	55	44
mscS	9240	9523	3029	1051	4742	8224	654	669
yeaE	222	545	107	95	164	449	52	57
insL-3	0	0	0	0	0	0	0	0
yjeT	173	61	32	7	154	83	9	5
arsB	132	120	79	32	119	128	29	39
yibA	139	84	98	19	104	78	20	19
yjdL	17	16	67	22	22	23	20	27
rhtC	343	572	128	89	267	646	38	63
recQ	833	567	844	283	835	600	311	263
pldA	2357	1182	634	173	1590	1276	194	119
yigI	624	1781	153	153	546	1500	37	100
frsA	2385	1742	512	189	1903	1946	231	155
gpt	10947	12943	1395	617	11663	11840	508	436
ydaC	13	11	6	3	8	8	1	0
ralR	8	11	0	1	13	7	1	2
intR	45	52	148	54	32	39	59	37
ydaQ	1	5	1	0	3	1	1	0
dbpA	445	461	139	80	584	457	88	46
ttcA	4344	5126	659	360	4528	4703	341	225
ydaN	643	740	248	123	449	758	77	79
smrA	472	1127	180	113	360	796	53	68
yafN	257	279	79	62	137	198	30	43
aldB	25	61	33	22	33	101	6	20
ybiT	4627	4290	1393	695	5418	4450	680	475
ybiS	9951	10108	1841	793	7861	10710	632	629
bioB	689	340	171	42	3130	691	220	45
mntR	1076	1110	267	142	963	921	98	91
ybhH	4	12	14	11	20	14	4	6
ybiW	44	80	90	51	70	93	34	53
ybiV	1361	657	241	78	799	444	62	43
ybhI	7	3	8	20	6	3	6	9
moeB	751	489	438	168	703	675	219	196
fsaA	243	231	43	14	151	218	16	16
bioC	124	46	94	32	525	83	151	36
bioF	178	65	166	44	779	158	283	46
fsaB	269	97	77	10	324	136	40	12
hypF	638	412	300	109	463	414	157	111
dcuR	794	460	180	59	563	309	69	27
insE-1	0	0	0	0	0	0	0	0
hsrA	103	53	229	88	76	55	86	60
rbsR	187	224	236	97	222	165	63	54
rbsK	1528	1072	508	200	1634	973	271	120
rbsB	5855	7461	1339	656	7643	5664	824	391
rbsC	711	700	459	241	1152	577	268	128
rbsA	813	875	531	281	1108	597	398	165
rbsD	615	913	1028	597	715	557	796	325
matB	272	388	36	19	323	347	18	21
matC	9	22	8	7	8	25	5	5
ykgL	5	0	16	9	7	7	13	8
matA	6	7	16	14	5	10	13	13
ykgM	68	35	22	3	108	32	8	4
ykgO	79	39	21	4	59	35	10	5
ykgR	19	29	6	1	25	23	3	2
yaeI	33	24	83	40	18	9	34	43
yaeH	1654	4883	234	189	926	3133	99	126
glnD	878	921	481	252	984	1139	238	206
dapD	28630	23108	3615	1201	23640	20649	1557	831
map	10390	5021	1839	515	11330	6144	892	448
tsf	97555	77411	16742	4832	110605	78047	9370	3899
rpsB	111494	121142	25238	13242	136481	93497	13502	8474
frr	22188	26951	4867	1921	18245	22733	1842	1230
pyrH	7191	2944	1972	567	6367	5139	922	398
ascG	1059	1210	263	121	777	1025	101	99
atoD	2	1	8	6	1	6	9	12
atoA	2	6	6	4	5	3	3	4
ybaT	60	61	142	89	38	33	31	31
ybaS	37	37	30	20	30	40	7	15
ybbJ	145	192	105	69	124	165	48	43
cueR	603	1625	158	104	503	1435	72	51
ybbL	537	519	91	50	374	436	47	33
qmcA	493	846	194	99	379	686	75	72
ssuD	88	93	27	9	100	84	17	10
ssuC	11	7	21	6	8	19	16	9
ssuB	37	44	66	32	22	48	26	34
pepN	17554	11142	3347	1246	17159	12092	1433	831
pncB	3197	2950	1466	725	2586	2935	489	487
asnS	32546	41514	7204	4478	31053	53188	2935	3161
ompF	156077	206340	23920	12876	208349	160414	13348	6679
aspC	17849	23037	2888	1644	15308	20886	1241	1056
ycbL	3108	3001	1016	507	2395	2918	317	361
ycbK	3965	4135	1110	638	2723	3044	274	357
ymgJ	0	0	2	3	8	0	0	4
ymgI	5	3	9	9	6	3	8	8
ymgF	194	48	31	10	98	51	6	4
ymgG	149	140	51	39	108	167	11	28
ymgD	332	493	63	49	209	343	23	39
ariR	38	70	5	7	9	33	6	9
ymgA	10	18	15	9	14	36	4	5
ycgG	16	9	20	13	18	13	13	13
ymgC	21	9	9	6	7	9	1	8
yfjT	183	193	51	34	127	182	22	14
intD	79	85	188	147	63	54	73	76
insF-3	0	0	0	0	0	0	0	0
insE-3	0	0	0	0	0	0	0	0
yhjC	195	248	137	60	128	184	26	41
ybcK	52	18	39	29	46	20	16	19
emrE	634	529	158	56	462	386	38	44
crr	20728	62742	3707	3771	15405	45441	1478	2691
pdxK	1732	4577	330	301	1192	4357	127	239
cysZ	1420	2885	346	303	1051	2604	115	247
cysK	13958	75600	2291	5402	11257	59401	931	3293
ptsH	13899	24392	1647	1805	11741	21952	771	1064
ptsI	15321	30452	6003	6868	13147	29050	2412	4350
yfeH	626	1013	288	258	440	928	127	143
ypeB	82	215	80	95	70	206	45	69
ligA	3256	10284	1091	1286	3482	10179	418	711
zipA	3459	19262	2406	4643	2675	12717	840	3102
yidH	66	124	44	20	45	93	12	17
yhjB	95	256	33	18	83	178	15	11
yjjW	39	10	127	84	37	13	67	80
phnH	5	5	14	4	6	9	9	12
frwB	42	30	14	4	43	32	7	3
ypjK	17	12	2	2	15	10	6	2
yjdM	2774	2998	227	140	3374	2377	157	111
treF	144	213	153	69	116	261	57	56
ydiU	1196	781	626	276	707	690	208	174
alpA	33	79	13	18	41	43	7	29
yfjI	56	49	25	4	53	55	10	7
yfjJ	40	23	29	16	35	15	9	15
yfjK	738	386	467	180	523	420	152	113
yfjL	416	218	395	159	311	281	155	119
yfjM	2	4	11	8	6	5	3	5
rnlA	2109	2578	1096	678	2266	2598	451	539
rnlB	360	412	244	187	316	354	97	134
yfjP	88	57	53	35	83	50	22	28
yfjQ	85	131	29	10	67	118	6	6
yfjW	752	317	225	50	396	294	47	30
yghU	923	2260	179	164	744	1904	64	118
hybE	111	150	180	101	129	146	73	68
hybF	37	46	65	27	53	38	39	25
hybC	585	467	395	209	905	722	224	158
hybD	161	191	215	124	167	211	101	75
eutL	435	804	105	114	293	899	37	52
eutC	296	618	133	151	232	610	44	86
ampG	715	276	1046	179	848	363	565	223
intZ	278	890	207	289	230	582	104	178
yffL	117	133	66	39	75	85	19	41
yffM	2	0	4	7	1	2	4	10
yeeA	120	252	194	243	132	270	80	136
sbmC	178	1178	46	59	124	939	17	49
yffP	35	111	15	19	40	109	11	6
yeeX	6259	13793	760	755	4305	9753	329	630
yeeU	7	7	3	5	14	16	3	5
cbtA	5	6	37	21	5	13	5	2
yeeS	7	7	33	22	15	9	12	14
yeeT	2	5	1	0	3	6	0	0
yjcZ	852	856	813	415	421	976	175	342
yjiS	2	3	3	2	3	7	2	3
eamA	163	792	104	130	139	691	47	74
marB	183	163	110	64	142	137	27	34
marA	1936	2888	256	103	1082	1670	72	58
marR	114	127	123	66	91	81	45	41
marC	237	298	102	58	162	257	30	41
ydeA	360	291	93	50	203	284	26	31
yneK	16	13	22	19	11	8	2	3
yneJ	220	239	70	29	186	263	21	25
yehX	59	207	25	56	36	263	5	33
yehY	19	144	44	87	26	178	23	53
osmF	122	1148	66	140	139	1576	16	128
bglX	2532	7254	936	1148	2161	6683	344	698
yehU	467	784	400	246	519	796	191	212
mlrA	9	52	22	40	3	55	10	50
yneM	433	7313	158	420	281	4088	60	310
ydeE	121	409	66	82	155	352	19	53
mppA	1562	2128	442	236	2013	3836	225	279
yhiJ	33	25	56	34	21	15	6	22
xylH	19	23	49	27	423	37	100	25
xylG	12	15	32	16	398	48	133	21
rnhA	629	480	185	52	556	401	51	33
xylB	235	299	109	56	1213	459	351	55
yiaB	13	10	20	9	6	8	3	13
xylF	38	53	28	9	1911	239	283	18
xylA	150	64	128	77	12066	1495	1496	136
ysaB	20	36	18	12	14	38	4	14
mhpD	21	53	23	12	23	63	12	13
gadX	76	46	64	23	33	47	19	32
lepA	25399	15003	8241	2824	30564	22329	3363	2136
mhpF	59	104	28	24	61	106	12	13
pmbA	6203	4841	1333	467	4740	4581	472	318
accD	13967	33504	4091	4068	9887	29671	1488	2759
mpl	5880	4389	2000	650	4339	4420	666	509
yjgA	2371	2252	828	297	2494	1963	358	211
ycgV	77	84	113	70	55	49	50	59
tynA	49	74	58	33	23	60	19	22
feaB	53	138	65	118	63	121	46	67
dhaR	236	342	239	154	130	290	112	119
ldhA	23419	11368	2751	563	12243	12522	668	402
hslJ	2622	1176	443	93	1680	1379	128	120
ydbJ	764	1481	95	78	678	1214	47	67
ydbK	3012	1172	1493	416	3714	3075	668	369
feaR	55	130	50	70	63	116	30	37
ydbL	167	123	71	28	141	99	24	23
ynbE	235	170	56	23	112	125	9	14
ydbH	610	629	541	239	542	462	188	126
wecH	119	101	135	82	89	98	20	17
hybA	193	160	104	47	320	204	54	21
hybB	126	81	129	53	184	103	82	37
argD	1032	580	305	116	1232	798	151	74
plsY	518	563	211	121	481	502	82	95
folB	606	379	132	66	661	470	49	44
ttdA	81	97	152	97	20	27	68	50
ttdR	92	8	39	10	42	8	26	3
ttdT	6	12	24	10	14	10	17	16
ttdB	16	16	9	11	12	14	7	4
recO	495	337	1056	401	542	415	546	369
ygjD	3365	5686	859	524	3213	5438	371	327
rpoD	37023	11095	8521	1941	30295	16581	3179	1660
dnaG	1362	1417	2301	1116	1844	1430	1053	852
mgtL	2245	2332	516	295	1205	2333	243	376
yjaZ	23	10	55	25	21	20	22	48
yhfG	156	144	103	60	39	72	47	66
rpoC	79939	78821	40944	22675	110059	109877	21526	13406
ppiA	6889	9781	861	448	4551	7776	221	269
rplK	67943	71870	18587	9890	106678	63087	11293	6809
yhdN	180	191	126	66	87	154	45	48
nusG	12290	17878	3332	1668	13288	15979	1492	1131
gss	3178	1145	1003	236	2281	1823	318	206
uhpC	142	235	177	93	126	187	49	61
rplJ	75309	69012	33441	13655	101729	60374	20869	9150
pitB	28	22	37	17	38	34	13	19
acrF	40	43	170	91	44	35	68	81
rplA	114029	90958	31517	17405	148262	88409	19254	10933
hybG	159	82	48	20	116	99	12	16
focB	37	60	57	36	83	33	22	26
hsdM	3566	3513	826	291	4492	3625	398	186
yqgF	503	591	250	149	482	449	98	98
treC	7259	4917	2485	869	16525	8477	2172	787
smg	439	491	555	337	273	444	237	185
hyfR	22	26	149	62	25	17	52	67
fucP	12	11	78	50	15	14	67	49
fucA	75	55	45	24	72	48	26	13
fucO	263	318	128	91	254	315	83	59
ygdG	861	1443	363	229	722	1206	204	172
fucR	916	681	343	155	788	490	176	107
fucU	1949	2417	220	122	846	2079	53	69
fucK	175	154	206	92	257	161	93	69
fucI	868	300	234	109	1340	586	137	110
ygdD	1221	951	362	203	1477	1131	175	127
rlmM	3042	3550	1096	533	3377	3310	527	405
eutB	495	1043	207	178	373	1160	71	91
fliF	6017	11587	4086	3425	5087	8817	1644	2369
fliE	3854	7331	1131	895	3127	5352	385	552
fliH	2354	2305	1840	835	1874	2118	748	586
fliG	3990	4285	2619	1486	3678	4245	1195	1094
yedL	45	66	17	13	51	60	13	19
yedK	24	41	10	9	24	44	8	11
yhjA	53	36	63	36	67	41	31	20
fliJ	810	390	486	125	624	403	208	112
fliI	2040	1497	2124	627	2015	1574	968	573
gadA	13	18	1	4	15	32	3	1
rpsF	65315	64719	11264	5985	89834	56530	6717	3716
yffN	4	21	9	4	4	13	5	4
yffO	20	86	8	13	12	75	8	6
rluF	1065	1149	309	189	855	1064	123	113
yjbD	501	853	92	58	348	585	27	47
fliY	4122	8982	1058	722	3413	7382	276	385
yafJ	728	1231	423	238	734	1200	171	156
yjbE	106	182	69	32	134	136	27	96
yjbF	38	49	25	27	17	14	8	25
lysC	630	514	284	134	622	588	111	87
yffQ	160	217	40	20	87	118	15	24
uvrY	1664	1601	651	358	1260	1369	231	249
uvrC	1295	1478	795	361	1318	1343	374	320
pgsA	922	1160	253	189	830	1299	126	137
yjbH	34	40	48	42	15	19	25	46
yecS	347	566	176	123	371	564	66	72
yecC	493	595	246	106	374	553	84	89
sdiA	578	527	174	86	399	421	65	71
yecF	1149	859	212	79	1366	676	110	44
cmtA	24	23	56	30	24	21	15	5
yggP	70	54	28	14	86	31	15	9
yggF	22	13	40	18	43	21	20	16
yggD	263	121	370	77	169	111	141	71
yggC	453	227	299	62	306	220	123	45
epd	3695	1102	2870	580	3587	1352	1023	450
pgk	101171	36568	15060	2405	71720	38578	5098	1692
fbaA	106424	30088	18130	2189	89892	35638	7012	1761
hyfH	34	39	31	7	25	32	17	11
yhjE	85	551	60	130	80	457	24	42
tktA	328112	65764	53227	6009	296709	79415	24650	4511
cmtB	18	12	15	7	25	6	2	1
waaA	1480	868	971	339	1228	880	340	284
mioC	4448	3250	1184	389	3588	3533	281	305
uhpT	111	272	1098	719	146	450	308	575
arfA	474	702	94	66	311	419	38	55
katG	8707	6668	2629	978	8184	8735	1264	629
ynaJ	4027	8627	732	633	3260	6078	295	404
insH-4	0	0	0	0	0	0	0	0
fnr	11417	8864	2665	1198	10134	8204	901	844
uspE	2588	5937	727	657	1237	4693	315	463
abgT	18	34	104	63	10	34	25	49
ogt	389	288	107	51	418	502	57	52
abgA	79	105	26	26	80	93	14	16
abgB	62	75	47	45	48	108	23	34
lpcA	8022	6388	1475	416	6498	5881	535	334
abgR	156	367	55	49	179	256	25	22
ivy	1467	3085	286	251	1008	2702	97	144
fadE	137	2940	134	604	296	2226	81	294
dinJ	1081	1660	193	148	716	1110	76	103
yafL	28	14	48	18	32	12	28	88
yafK	2617	3972	426	389	2978	3517	144	265
yafQ	192	255	101	54	160	177	56	46
yhiD	4	1	15	4	8	10	2	3
ybhK	1040	750	529	267	808	727	187	198
moaA	2134	1362	1437	504	1202	986	548	325
bioD	519	375	180	82	1560	426	177	39
uvrB	1708	1561	835	410	1494	1807	325	306
moaD	1260	650	399	95	662	602	115	71
moaE	1393	558	578	146	822	537	150	118
moaB	3500	2891	883	260	1679	3073	233	196
moaC	2570	1021	722	229	1495	1027	211	150
yliL	1	3	2	1	3	1	4	2
ybhL	2030	1377	765	304	1655	1267	293	238
ybhM	32	27	24	12	28	16	13	7
dinF	370	258	334	123	396	273	127	116
atpH	8528	4783	10103	2750	9456	6105	4565	2065
viaA	223	200	233	110	192	217	99	86
ykgD	89	213	115	76	78	159	49	72
ykgE	974	407	296	47	1685	750	310	65
ykgI	61	83	8	8	29	47	7	2
ykgC	69	119	19	18	63	163	12	16
ykgB	39	75	14	15	50	53	7	6
insF-1	0	0	0	0	0	0	0	0
hofP	16	8	6	3	9	10	5	3
bglH	27	24	42	20	17	18	11	16
pgaB	48	20	50	19	46	20	10	17
yieK	206	189	58	22	192	187	27	14
yieL	57	104	29	16	37	74	11	8
phoU	1015	1172	401	170	647	1102	135	138
hofM	78	139	61	52	48	62	25	26
ykgF	1691	491	479	84	2560	1253	417	99
ykgG	680	243	621	313	1029	421	386	199
hofN	15	10	30	13	28	24	16	15
yeaD	4598	1889	384	78	3107	2239	139	81
dld	3324	14290	711	972	2927	15174	267	649
yeaC	1858	3662	340	314	1413	2603	126	166
pbpG	1347	2346	386	338	1229	2424	115	268
msrB	4584	14565	521	573	3712	10488	206	299
hofQ	36	40	112	83	45	28	77	73
lpxA	4380	3368	3801	1313	4352	3452	1997	1092
lpxB	1058	801	1427	562	1246	953	665	517
lpxD	9281	5834	6735	2377	9322	6261	2848	1632
fabZ	14836	8336	2512	896	13390	8573	1212	698
bamA	22111	14563	8259	2584	22455	17556	3232	1832
skp	32772	22091	5466	1867	26548	18746	2388	1351
cdsA	1514	1150	1292	523	1782	1235	500	321
rseP	1407	1488	2412	931	1405	1409	1057	742
dxr	1795	1173	628	205	2064	1504	266	182
ispU	2136	1595	1455	613	2145	1632	533	410
ydjN	3789	6219	1679	1250	4076	5560	702	643
ydjO	9	9	6	1	7	9	2	8
yniC	1815	2330	337	187	1528	1863	121	151
ydjM	47	37	35	23	28	35	28	19
ycbF	118	125	46	32	30	34	18	21
pyrD	3168	1737	591	134	2127	1604	154	103
ybaQ	653	408	217	86	433	256	72	50
copA	1534	2672	681	444	1207	3147	249	245
elfC	27	42	116	87	20	31	27	24
ybaP	301	190	163	77	241	197	80	67
ushA	1832	2779	553	295	1401	2612	194	173
ybaK	1644	2643	323	138	1210	1959	119	103
ybaL	747	1380	495	372	828	1322	280	292
fsr	616	2662	286	295	766	2617	134	210
aes	156	78	75	38	163	113	31	15
gsk	3627	1847	788	233	3992	2329	342	203
tfaE	12	61	13	2	12	64	2	3
recG	912	475	1271	274	925	481	495	225
pinE	20	15	15	5	28	13	9	5
mcrA	175	123	80	26	118	117	17	26
iraM	28	11	11	1	22	17	2	11
ycgX	110	19	44	10	59	20	5	4
ycgE	782	1516	261	248	543	1136	91	133
ycgF	125	625	44	90	134	483	17	60
ycgZ	52	161	17	27	34	123	7	13
mcrC	273	32	211	82	214	66	28	15
mrcA	2584	2724	1345	602	2453	2319	671	412
ybcL	26	32	11	5	41	30	11	11
ybcM	88	132	65	41	59	91	21	22
ylcH	1	6	13	7	1	0	5	4
ybcN	1	0	8	5	2	1	0	4
ninE	0	1	3	1	0	0	1	2
ybcO	2	1	21	9	1	3	3	0
rusA	5	4	26	17	4	4	6	11
ylcG	2	3	3	0	2	2	1	3
quuD	12	14	7	7	8	7	3	5
yehW	16	111	22	29	7	125	5	27
mog	2614	1557	524	182	2426	1939	269	133
yaaH	221	161	97	86	391	162	59	63
nrdG	72	54	49	12	134	48	29	10
yfeR	211	219	59	57	162	203	32	39
yfeN	15	30	16	29	8	20	7	15
thrL	758	2000	661	653	727	1554	197	445
thrA	2075	9760	1083	1565	2641	8411	443	660
thrB	698	1741	545	594	836	1652	269	295
thrC	2910	7440	876	901	3385	5827	337	380
yaaX	56	89	35	27	38	101	12	27
yaaA	2397	1441	387	138	1717	1279	155	93
yaaJ	106	95	151	58	95	94	91	64
talB	66494	49748	11521	4365	53232	46900	4679	3308
arcA	17038	24304	4000	2191	14097	19387	1568	1439
phnL	6	14	10	6	6	13	3	4
tpiA	25688	7873	3573	659	17359	9846	1258	534
fimE	34	79	31	24	28	68	11	18
ilvM	35	183	23	36	31	185	16	30
nlpA	314	2081	147	219	340	2024	66	157
flgM	11697	17389	1782	1129	7696	15252	528	823
flgA	4464	11117	2942	1816	3572	9036	1129	1155
flgB	13635	28515	5007	3385	12891	26366	1817	2156
flgC	17024	33315	4543	3302	13401	29764	1553	1859
yceH	1710	2267	371	205	1310	1973	122	125
yceM	409	653	375	193	387	642	155	132
murJ	974	1320	449	259	1059	1323	243	196
flgN	5822	5876	1768	1072	3084	4655	443	720
napA	916	3592	369	535	1134	3604	245	281
napG	45	169	59	123	57	153	57	72
napF	129	90	170	64	58	73	120	43
napD	123	122	82	41	90	120	29	26
flgD	24024	33593	9081	5655	18642	32291	3131	3553
flgE	61988	74033	15342	7332	48322	78639	5166	4737
yojI	821	2209	478	648	1075	2203	222	468
pal	37903	37419	5865	2585	40601	40691	2821	1963
bamE	11307	9712	2090	797	8440	6616	553	570
recN	2473	2179	970	788	1918	2620	396	771
nadK	1322	1086	421	228	880	997	172	138
grpE	82982	23970	12295	1793	44766	29832	3589	1706
speC	3195	7129	941	851	2622	7255	319	503
smpB	9560	5669	1244	349	6184	4870	461	322
ratA	5666	2961	1403	429	4138	3267	349	312
ratB	1910	1068	732	192	1160	977	206	189
mutY	857	987	663	258	1046	890	301	226
yggX	3604	3487	461	184	2680	2856	167	123
yfjH	557	308	139	58	359	209	35	36
intA	1438	1295	472	231	1016	1097	154	151
ansB	494	224	160	45	358	177	259	34
yggN	1433	1153	223	75	1172	1368	100	52
yggL	3815	4013	770	331	2819	3066	287	211
trmI	3863	3454	952	338	3805	3318	361	232
eutH	26	73	46	36	17	71	21	34
yahC	13	9	8	2	10	12	3	3
yffS	1347	2864	369	252	1316	2284	184	146
yffR	322	961	95	112	164	609	31	63
insC-3	0	0	0	0	0	0	0	0
insD-4	1	2	1	1	0	0	0	0
eutJ	8	13	18	17	4	5	10	11
yahB	48	68	60	49	64	84	39	49
yeeR	80	88	77	49	233	160	45	40
flu	3036	869	749	153	8404	3843	799	236
eutD	16	40	26	27	26	35	18	37
eutM	98	235	11	12	83	216	6	14
yahA	2345	3459	691	421	2180	3461	289	371
argC	98	132	75	54	117	179	32	30
yicI	102	86	2008	1535	462	167	1539	1625
yneH	752	634	300	131	633	578	106	85
betT	296	1148	313	506	304	708	112	252
nepI	153	197	74	51	142	243	38	44
yicJ	37	23	109	89	134	41	139	114
lsrG	43	94	14	11	51	100	2	5
betI	114	198	262	240	116	143	101	122
lsrB	55	72	22	18	64	89	18	23
lsrF	97	110	22	16	85	111	8	13
yneF	33	23	85	63	31	19	33	28
yneG	318	181	118	31	189	168	40	25
yneE	161	171	57	35	107	147	16	32
betB	1560	2904	534	409	1345	2262	193	162
ynjC	90	110	78	44	110	106	35	41
ynjD	51	51	42	19	44	38	20	17
dgoK	40	68	58	42	33	70	28	33
betA	700	1118	400	272	770	927	141	111
sanA	174	440	142	151	159	343	45	134
cdd	1519	1126	378	153	1487	1467	189	162
astA	7	128	19	54	10	111	6	29
astC	20	413	26	83	24	359	12	32
xthA	5089	4541	732	293	4452	4270	281	227
ykgH	33	17	23	8	31	10	8	7
ydjY	135	34	45	8	143	44	30	7
ydjZ	50	31	47	19	72	26	34	28
ynjA	92	156	49	24	92	123	21	27
ynjB	355	445	128	66	243	399	69	60
ccmG	134	301	57	59	114	195	28	41
ade	575	796	199	100	943	741	101	95
xanP	476	95	295	56	222	133	62	47
ccmF	172	291	209	179	193	322	87	118
yicH	888	1581	476	343	574	1134	153	229
ccmE	228	462	66	52	178	456	20	35
yjjA	1598	693	326	79	1482	817	121	68
hcaF	41	87	38	50	25	52	6	21
yhdY	9	8	18	19	16	8	9	11
ccmD	117	167	33	44	80	200	15	18
yjjP	124	85	46	16	85	81	12	25
argE	1056	1477	261	184	762	1329	90	115
bglJ	0	4	13	7	4	2	6	10
glgP	1238	1143	1165	617	1206	1647	386	402
glpE	1580	1040	313	120	1268	1088	101	119
ccmC	308	522	125	98	255	497	39	71
glpR	1472	1973	398	198	1098	1671	140	168
glpG	1512	1643	897	378	1417	1610	309	285
rtcB	167	263	128	90	143	223	56	70
rtcR	50	52	299	87	54	64	57	40
malT	1663	1681	1583	777	2210	1966	1296	659
ccmB	74	145	85	98	51	120	17	40
yicO	19	31	64	50	22	12	46	93
ccmA	97	165	137	181	59	138	86	132
setC	19	24	64	49	14	16	29	45
napC	101	457	112	175	117	346	41	96
yicL	355	533	139	94	290	477	38	55
yijO	156	259	64	45	138	213	34	33
rbfA	2957	4095	605	412	4692	4608	400	232
paaH	20	17	45	36	33	21	23	36
paaI	12	10	13	5	13	7	5	5
paaF	7	15	15	12	15	12	8	3
paaG	10	10	12	6	14	18	6	7
paaD	5	9	11	13	8	11	10	3
paaE	47	57	34	29	47	30	9	26
paaB	10	9	14	9	11	8	4	0
paaC	7	14	24	10	14	15	11	6
paaZ	20	22	38	30	36	24	28	43
paaA	14	22	36	30	24	20	21	26
kup	1187	663	745	208	1275	669	296	208
yjiL	21	18	58	35	19	15	32	40
uxaC	592	1798	141	174	742	1220	72	91
exuT	121	619	108	154	230	509	66	97
exuR	1370	1266	395	260	1180	1087	166	198
yqjA	912	810	401	168	876	782	165	126
alx	144	152	75	57	173	151	38	36
sstT	619	1339	476	425	1005	1128	215	284
ygjV	93	64	42	24	89	71	26	18
uxaA	202	655	160	179	217	428	62	104
mzrA	491	286	223	87	397	280	108	85
yqjC	842	512	276	159	567	512	97	114
yjiK	49	32	48	20	37	33	16	15
miaA	1821	1483	5340	1980	2246	1503	2007	1453
yhfS	25	28	40	10	27	28	16	18
yjiN	109	133	134	117	113	140	46	93
suhB	6010	5220	1552	672	10210	5997	775	626
hyfB	26	44	61	61	24	32	31	49
nfi	758	755	413	154	540	831	150	93
yjaG	1907	722	518	124	1537	924	158	92
uhpB	149	306	286	237	163	237	101	133
thiE	52	29	43	13	46	26	26	9
thiG	124	98	73	31	86	118	26	36
thiS	12	3	13	4	11	6	6	5
nudC	964	1106	269	105	754	1070	88	85
hemE	3977	3791	1113	415	3670	4010	428	292
thiC	164	109	128	56	175	146	67	81
rsd	487	1154	189	291	328	699	66	162
queF	4760	3828	799	283	3807	3483	281	191
ygdH	4815	2942	1506	445	4570	2892	803	308
syd	1741	1055	380	129	1319	917	144	119
truC	1059	537	614	192	1229	661	254	125
yqcC	1540	1217	327	99	1473	971	127	60
gudP	18	23	21	18	10	8	14	16
yqcA	1731	2407	488	189	1457	2325	177	126
hyfC	4	6	10	10	3	10	5	5
sdaB	24861	14924	7655	2150	47445	21753	6846	2157
purA	34490	18932	9185	2528	36875	26438	3728	2037
yhiR	2514	1777	485	172	2777	2266	177	178
glgC	1385	2213	818	556	1084	2412	317	301
envR	8	10	13	9	9	12	12	24
kdsD	2613	1969	1058	412	1707	1978	351	262
malE	11918	1216	1584	95	28954	8718	2139	400
