gene	jh46	jh47	jh63	jh64
arcA	4000	2191	1568	1439
phnL	10	6	3	4
tpiA	3573	659	1258	534
fimE	31	24	11	18
ilvM	23	36	16	30
nlpA	147	219	66	157
flgM	1782	1129	528	823
flgA	2942	1816	1129	1155
flgB	5007	3385	1817	2156
flgC	4543	3302	1553	1859
yceH	371	205	122	125
yceM	375	193	155	132
murJ	449	259	243	196
flgN	1768	1072	443	720
napA	369	535	245	281
napG	59	123	57	72
napF	170	64	120	43
napD	82	41	29	26
flgD	9081	5655	3131	3553
flgE	15342	7332	5166	4737
yojI	478	648	222	468
pal	5865	2585	2821	1963
bamE	2090	797	553	570
recN	970	788	396	771
nadK	421	228	172	138
grpE	12295	1793	3589	1706
speC	941	851	319	503
smpB	1244	349	461	322
ratA	1403	429	349	312
ratB	732	192	206	189
mutY	663	258	301	226
yggX	461	184	167	123
yfjH	139	58	35	36
intA	472	231	154	151
ansB	160	45	259	34
yggN	223	75	100	52
yggL	770	331	287	211
trmI	952	338	361	232
eutH	46	36	21	34
yahC	8	2	3	3
yffS	369	252	184	146
yffR	95	112	31	63
insC-3	0	0	0	0
insD-4	1	1	0	0
eutJ	18	17	10	11
yahB	60	49	39	49
yeeR	77	49	45	40
flu	749	153	799	236
eutD	26	27	18	37
eutM	11	12	6	14
yahA	691	421	289	371
argC	75	54	32	30
yicI	2008	1535	1539	1625
yneH	300	131	106	85
betT	313	506	112	252
nepI	74	51	38	44
yicJ	109	89	139	114
lsrG	14	11	2	5
betI	262	240	101	122
lsrB	22	18	18	23
lsrF	22	16	8	13
yneF	85	63	33	28
yneG	118	31	40	25
yneE	57	35	16	32
betB	534	409	193	162
ynjC	78	44	35	41
ynjD	42	19	20	17
dgoK	58	42	28	33
betA	400	272	141	111
sanA	142	151	45	134
cdd	378	153	189	162
astA	19	54	6	29
astC	26	83	12	32
xthA	732	293	281	227
ykgH	23	8	8	7
ydjY	45	8	30	7
ydjZ	47	19	34	28
ynjA	49	24	21	27
ynjB	128	66	69	60
ccmG	57	59	28	41
ade	199	100	101	95
xanP	295	56	62	47
ccmF	209	179	87	118
yicH	476	343	153	229
ccmE	66	52	20	35
yjjA	326	79	121	68
hcaF	38	50	6	21
yhdY	18	19	9	11
ccmD	33	44	15	18
yjjP	46	16	12	25
argE	261	184	90	115
bglJ	13	7	6	10
glgP	1165	617	386	402
glpE	313	120	101	119
ccmC	125	98	39	71
glpR	398	198	140	168
glpG	897	378	309	285
rtcB	128	90	56	70
rtcR	299	87	57	40
malT	1583	777	1296	659
ccmB	85	98	17	40
yicO	64	50	46	93
ccmA	137	181	86	132
setC	64	49	29	45
napC	112	175	41	96
yicL	139	94	38	55
yijO	64	45	34	33
rbfA	605	412	400	232
paaH	45	36	23	36
paaI	13	5	5	5
paaF	15	12	8	3
paaG	12	6	6	7
paaD	11	13	10	3
paaE	34	29	9	26
paaB	14	9	4	0
paaC	24	10	11	6
paaZ	38	30	28	43
paaA	36	30	21	26
kup	745	208	296	208
yjiL	58	35	32	40
uxaC	141	174	72	91
exuT	108	154	66	97
exuR	395	260	166	198
yqjA	401	168	165	126
alx	75	57	38	36
sstT	476	425	215	284
ygjV	42	24	26	18
uxaA	160	179	62	104
mzrA	223	87	108	85
yqjC	276	159	97	114
yjiK	48	20	16	15
miaA	5340	1980	2007	1453
yhfS	40	10	16	18
yjiN	134	117	46	93
suhB	1552	672	775	626
hyfB	61	61	31	49
nfi	413	154	150	93
yjaG	518	124	158	92
uhpB	286	237	101	133
thiE	43	13	26	9
thiG	73	31	26	36
thiS	13	4	6	5
nudC	269	105	88	85
hemE	1113	415	428	292
thiC	128	56	67	81
rsd	189	291	66	162
queF	799	283	281	191
ygdH	1506	445	803	308
syd	380	129	144	119
truC	614	192	254	125
yqcC	327	99	127	60
gudP	21	18	14	16
yqcA	488	189	177	126
hyfC	10	10	5	5
sdaB	7655	2150	6846	2157
purA	9185	2528	3728	2037
yhiR	485	172	177	178
glgC	818	556	317	301
envR	13	9	12	24
kdsD	1058	412	351	262
malE	1584	95	2139	400
malF	471	123	556	157
ilvX	14	45	5	18
malK	515	28	925	124
psiE	91	77	55	73
yjbT	31	14	36	41
malG	235	32	257	53
xylE	67	49	227	34
tyrP	398	163	151	101
yecA	267	242	100	167
ftnA	1015	404	424	226
yecH	30	9	12	15
azuC	80	174	19	127
yecR	707	535	233	344
ftnB	88	59	44	25
yecJ	235	107	75	72
fecB	631	205	404	189
yjiG	70	44	34	21
fecC	447	102	263	111
yjhF	43	31	19	15
gspL	34	15	15	12
fecA	2139	671	1249	581
yebZ	482	328	179	193
yobA	218	179	102	131
pphA	24	20	20	25
bsmA	41	17	59	16
yebY	263	175	91	113
yebT	387	255	161	172
rsmF	206	118	88	94
yebV	13	24	9	17
yebW	24	13	12	8
yjiJ	41	44	30	40
fecD	276	76	151	63
fecE	243	63	113	62
dcuS	418	123	124	76
hemG	244	95	91	88
yjfC	25	16	6	11
ubiD	2141	790	811	624
rpmB	9994	3491	5187	2801
glgX	772	529	314	337
fre	1063	297	371	264
pepQ	1756	684	665	460
fadB	83	425	51	223
trkH	683	276	226	183
yigZ	485	180	202	133
yciW	150	94	58	86
fabI	6110	1708	2446	2706
ycjD	51	13	14	22
sapF	317	85	120	114
yciZ	108	160	54	182
gmr	204	123	73	181
ymiB	1	0	2	1
rnb	4334	1559	1873	1823
yjfI	20	5	3	5
sapD	401	138	149	169
sapC	322	111	139	126
gntU	159	80	127	61
yeiW	78	97	44	115
yjfK	11	14	3	2
yhgN	198	96	78	83
psuK	11	7	7	8
yjfL	5	5	2	5
mlaD	743	430	316	342
psuG	134	118	52	60
rlmF	314	163	144	85
mcbA	10	11	6	9
galK	1722	707	865	508
galM	2218	1091	1046	687
gpmA	4741	1078	1977	862
aroG	628	948	283	422
ybgS	33	53	9	34
zitB	78	59	25	33
pnuC	68	57	36	43
nadA	74	44	23	31
ybiC	491	378	188	218
ybiB	485	256	207	191
alsC	86	29	29	58
asd	1498	1213	652	848
phnO	65	53	49	48
frmB	240	55	101	49
yaiL	294	129	133	73
mhpT	55	32	36	26
mhpE	48	31	23	15
atpE	5694	1525	2223	1033
yaiO	30	30	13	31
frmR	175	82	74	35
frmA	822	284	339	202
ychF	3184	905	981	692
pth	591	166	182	125
insD-1	0	0	0	0
insC-1	0	0	0	0
prs	9371	3416	3276	2632
ispE	2722	1197	1019	949
lolB	402	210	162	142
hemA	842	457	358	383
gadE	25	13	3	5
aroP	172	240	100	119
ampE	204	122	59	61
rpsU	8844	3601	4277	3269
hofC	53	25	23	24
guaC	2314	484	596	375
coaE	427	142	130	135
yacF	644	203	301	167
ampD	151	76	49	55
nadC	336	124	131	89
ppdD	7	4	5	0
hofB	57	31	19	31
ycbZ	1646	459	695	419
fabA	5360	958	2346	810
ydiZ	10	19	8	10
pfkB	213	122	91	73
infC	20794	11468	10539	7612
rpmI	9932	5259	6119	3988
thrS	11794	6057	4932	3565
ycbX	344	188	126	125
zapC	209	248	102	171
uup	1647	562	766	412
rlmL	1938	775	809	531
pqiB	849	217	299	176
pqiA	534	178	205	162
rmf	401	878	135	828
ymbA	319	88	106	73
ymfM	17	13	5	14
ymfL	26	30	15	35
ymfQ	3	7	6	5
dctR	5	3	3	1
ymfR	1	2	0	4
ilvC	292	350	208	242
tfaP	13	11	3	6
stfP	42	17	24	12
ppsR	196	161	67	82
yfgC	1269	678	351	461
nohD	0	2	0	0
ylcI	5	4	0	1
yfgO	510	291	180	195
borD	1307	768	656	484
rzoD	0	0	0	0
ybcW	26	19	2	2
ybcV	75	69	20	45
essD	6	1	3	5
insH-2	0	0	0	0
rzpD	18	10	9	3
rrrD	13	16	5	8
ybdN	25	17	2	8
ybdM	21	20	10	16
ybdL	44	49	29	41
ybdH	112	72	27	51
ybdD	25	56	18	27
cstA	387	1035	326	492
entH	21	19	13	8
entA	33	23	26	20
yfbK	52	42	22	32
yfbL	10	9	11	6
yfeC	91	104	98	83
yfeD	141	106	46	87
dsbG	180	91	71	71
ybdO	8	4	5	3
pheP	940	490	453	257
cusA	97	79	50	64
cusB	40	19	14	11
cusF	7	9	5	3
cusC	15	16	12	22
cusR	144	83	45	61
cusS	144	87	73	69
nfrB	96	73	42	62
hyfG	86	29	41	32
nfsB	1169	328	454	231
mscM	583	340	190	225
rne	5812	2765	2759	1998
flgL	5031	2279	1284	1633
flgK	6327	3052	1806	2332
flgJ	1617	780	520	500
flgI	2934	1758	897	1064
flgH	2561	1502	890	963
flgG	7110	3192	2221	1987
flgF	7527	3422	2463	2103
nfo	320	265	142	224
yeiI	176	132	70	110
nupX	61	59	18	33
rihB	11	17	6	8
cirA	205	319	87	262
lysP	1444	663	691	495
rluC	1297	395	425	280
yceQ	4	1	0	3
ppiC	439	100	171	97
nrdD	952	186	515	154
glcG	62	25	33	17
glcB	388	198	166	177
glcA	103	111	57	71
yghJ	2342	257	1351	351
pppA	222	35	71	43
yghG	75	8	22	14
yghD	25	13	10	11
tktB	618	590	168	339
erfK	113	93	50	74
cobT	206	112	69	72
cobS	162	93	72	55
yeeO	111	67	30	49
eutS	1	4	0	5
cbl	28	25	13	25
nac	24	14	5	15
cobU	101	63	49	47
nudK	102	82	39	64
aegA	111	109	54	106
gpp	1221	469	557	352
lsrD	52	30	38	28
lsrC	26	18	12	10
lsrK	85	42	28	42
lsrA	29	36	35	23
lsrR	60	41	52	35
hipB	47	30	12	19
hipA	149	94	54	71
ybhT	701	235	224	184
astD	191	216	87	96
astB	36	58	14	25
yjhH	28	23	14	17
ugpA	8	17	4	13
modA	923	527	285	380
nadE	460	212	178	127
osmE	154	216	66	126
chbB	45	44	22	28
chbC	44	30	21	31
astE	20	22	10	20
modB	646	354	202	259
ves	369	411	93	298
cho	178	128	75	86
modC	676	352	205	286
quuQ	83	51	31	28
selB	957	336	421	261
galT	1219	276	749	239
galE	1519	373	1182	343
gatB	835	837	485	526
gatA	1802	1584	1141	1063
prmA	579	166	303	142
panF	559	175	256	126
yqiJ	17	11	5	13
modF	438	242	165	175
yhdU	36	18	7	10
yhdJ	33	21	22	17
yhhW	107	40	46	33
yegR	16	21	8	11
yegS	31	69	11	66
modE	283	117	120	75
insE-5	0	0	0	0
insF-5	0	0	0	0
gatD	871	630	558	429
gatC	4108	4297	2554	2949
ypjA	251	181	104	148
rzoQ	4	2	1	2
paaK	53	59	31	41
paaJ	54	78	25	40
paaY	111	67	33	43
paaX	187	105	72	87
ynbG	1	1	0	0
insC-2	0	0	0	0
insD-2	0	0	0	0
ydbC	65	56	34	34
insI-2	0	0	0	0
yrhD	1	3	0	1
ygjP	96	41	32	33
rlmG	249	170	122	110
higB	29	18	14	9
higA	56	21	10	19
fadH	108	121	88	67
ygjK	305	220	173	233
ygjJ	48	54	26	29
ygjI	24	12	11	9
ygjR	188	85	132	62
ygjQ	14	6	5	5
polB	1617	395	915	425
araD	12339	4951	6828	3712
rluA	283	103	227	100
rapA	1375	449	904	486
djlA	337	131	147	95
surA	3897	1788	1594	1173
lptD	4312	2085	1677	1328
rsmA	1544	435	703	299
pdxA	1462	419	609	341
qorB	71	29	26	20
ytfH	202	153	61	98
yidI	58	24	23	19
wcaM	81	73	27	50
chaA	493	287	250	185
frvA	5	0	3	1
gudX	97	50	27	34
gudD	170	60	45	44
cysQ	397	221	169	147
thiH	111	48	49	40
arnB	32	58	16	35
pyrG	14888	4354	6037	3187
eno	29598	3189	11949	3444
mazF	235	89	63	60
mazG	493	164	171	150
relA	2663	1110	976	734
mazE	291	144	99	97
barA	1121	378	425	286
rlmC	890	294	390	203
ytfK	461	501	216	365
insF-2	0	0	0	0
yjiR	147	214	69	139
kdsA	2310	690	790	551
arnF	3	8	3	5
ytfN	1588	720	643	490
yhcA	25	15	14	34
glpD	19238	9387	8854	6808
flhD	705	429	276	274
flhC	1294	805	449	533
insA-5	0	0	0	0
insB-5	0	0	0	0
otsA	151	128	93	105
uspC	23	27	20	16
araH	605	380	375	255
otsB	65	67	45	52
araF	861	741	939	476
araG	1045	800	915	580
frvX	38	20	20	11
rplB	40808	16708	24269	9712
treR	106	65	37	57
arcB	1078	435	453	286
hemC	1184	402	459	383
lplA	388	118	165	137
uxuB	272	197	176	124
symE	26	17	11	15
edd	685	340	321	227
eda	1666	714	672	478
purT	147	60	54	49
yebG	107	66	68	65
yebF	128	84	49	78
yebE	62	60	31	25
ptrB	166	66	63	57
exoX	221	172	75	93
yobB	106	59	40	27
holE	109	60	22	34
sgcR	30	15	15	9
rplV	18793	7649	11030	4383
murI	925	261	381	233
ypjF	13	6	5	2
fimG	29	22	14	27
btuB	1438	810	676	543
yhcD	99	76	49	49
trmA	981	413	389	273
yihQ	94	53	64	87
yihR	24	21	19	17
yihN	42	24	19	18
ompL	6	2	3	3
yihO	51	29	16	21
yihP	31	9	20	12
glnA	2276	1031	1063	594
typA	13619	4365	5085	3400
yihL	50	33	33	17
yihM	68	53	41	28
yciH	304	100	102	130
pyrF	810	285	268	440
yciM	752	285	180	455
yciS	366	184	77	201
pgpB	188	112	70	126
ribA	608	189	234	226
acnA	669	779	307	892
yciX	94	40	17	37
oxyR	1177	813	344	475
yciT	381	488	184	528
osmB	49	59	10	101
ftsP	970	527	454	340
speE	1040	442	650	299
ybiH	239	94	119	70
rhlE	537	250	246	189
ybhA	424	97	158	90
pgl	940	361	321	245
yacC	159	99	67	74
ybhP	31	29	7	25
ybhQ	283	140	192	127
ybhN	20	11	10	15
ybhO	42	42	16	33
ybhF	395	170	139	111
ybhG	294	121	91	72
ybhR	125	40	44	39
ybhS	145	65	52	45
ygiS	175	122	138	103
yaiP	65	39	31	32
yaiS	8	5	1	4
tauA	27	19	5	15
tauB	7	5	7	7
tauC	21	8	4	8
tauD	32	15	15	8
hemB	1402	389	612	284
ytfL	292	201	91	161
ldrA	0	0	0	0
insE-2	0	0	0	0
ychA	744	342	238	216
ychQ	230	95	83	83
ldrC	0	0	0	0
ldrB	12	4	3	7
yhdV	19	14	9	3
yjfM	7	7	6	2
helD	689	310	242	226
mgsA	743	267	357	221
yccS	707	351	320	228
yccF	189	101	82	79
sulA	254	316	92	248
sxy	61	74	31	35
matP	153	70	54	64
ompA	78946	25961	40884	22410
pdhR	4198	1322	1653	943
aceE	75142	17377	38725	12134
aceF	50514	12234	25945	8085
lpd	29520	7979	15056	6115
yacH	28	26	6	11
acnB	13081	8294	6709	4986
yacL	211	70	118	53
yccU	305	117	108	86
ydcN	90	29	27	27
yccT	10	16	9	15
speD	919	284	526	215
ymfI	100	59	34	36
ymfJ	89	82	47	96
intE	45	72	19	68
xisE	17	36	6	18
ymfE	69	10	23	16
lit	72	24	21	13
icd	10989	6456	4772	3941
ymfD	134	39	61	47
cohE	286	157	82	114
croE	7	8	4	12
murQ	90	49	94	54
ybcH	62	29	36	44
nfrA	339	181	202	195
tehA	163	86	64	79
pflD	91	39	43	36
envY	30	15	12	13
appY	124	16	28	11
ompT	9556	4240	4732	2806
fepD	94	42	72	72
entS	120	86	96	81
fepB	124	60	54	52
entC	64	72	55	46
entF	213	105	100	103
ybjP	268	104	75	88
fepC	170	72	62	42
fepG	108	49	60	64
nuoI	1339	1067	773	674
yccE	27	12	16	4
entE	72	82	80	48
entB	37	28	26	17
rplL	24828	10231	14949	6726
hokE	4	3	3	5
artI	709	297	421	247
entD	29	23	8	24
fepA	104	127	67	80
ybdF	61	42	32	39
ybdJ	63	61	46	45
ybdK	52	52	24	41
cbpM	133	58	49	39
ydcL	214	128	87	92
fes	39	14	37	26
artM	349	146	215	136
torA	162	124	69	113
torC	38	23	19	10
yfdT	23	12	12	12
torR	133	49	39	35
torT	40	22	21	28
yeiG	177	373	73	196
folE	909	973	296	733
yeiB	285	269	130	232
galS	77	101	98	81
mglB	964	2042	776	1279
torS	165	94	55	43
mglC	443	442	412	356
preA	118	109	47	56
preB	38	74	24	37
yeiS	39	27	13	27
purC	461	142	109	124
ypfJ	507	368	192	287
yggG	633	146	270	95
speB	1391	261	667	226
galP	3644	919	2599	702
yggI	192	48	63	44
yqgC	1	10	6	2
metK	4811	1653	2020	1373
acrD	171	194	99	169
narQ	154	199	85	182
yffB	180	249	91	165
ypfM	102	138	53	96
ypfN	102	143	55	70
dapE	560	813	266	514
tmcA	553	291	199	237
ypfH	183	93	77	96
amn	431	276	155	221
shiA	177	172	102	148
yeeJ	316	158	105	90
mtfA	197	144	99	108
yodB	13	4	3	5
yeeN	898	125	274	106
ydgJ	451	309	164	191
yiiG	43	16	11	11
yjbB	278	140	100	98
exbD	472	176	248	144
dcyD	301	169	94	90
frvR	43	31	19	19
fecR	110	64	72	49
ftsE	917	366	388	304
pgi	4061	723	1556	750
hyfI	102	44	43	42
deoD	2180	595	1119	436
accB	2768	1126	1294	849
thiM	97	114	44	113
thiD	74	56	30	53
mreB	3491	1584	1599	1180
csrD	551	211	205	177
mreD	449	115	222	98
mreC	1662	496	802	422
yegT	83	62	35	42
fbaB	164	326	50	272
gatY	5720	7202	4343	5139
gatZ	6845	8020	4498	5455
yegX	40	57	12	41
yegW	122	91	32	79
yegV	74	99	34	64
yegU	91	102	42	53
yebQ	69	40	38	23
ilvL	1323	1072	638	885
ynbD	78	62	39	71
azoR	212	113	86	80
hrpA	2092	757	804	529
ydcF	265	173	95	136
ydbD	67	50	20	35
ynbA	7	4	5	7
ynbB	38	38	23	20
ynbC	32	41	29	25
treB	3804	1356	4168	1360
cbrB	22	8	5	5
cbrC	68	40	21	19
aldA	779	1517	544	809
tdcA	35	22	108	13
tdcR	1	1	2	0
tdcG	255	109	106	85
tdcF	18	6	10	6
yhaM	359	113	102	82
yhaO	172	59	94	51
tdcC	101	52	38	39
tdcB	30	15	9	10
tdcE	135	33	57	43
tdcD	74	41	34	42
yidA	585	233	214	161
yidB	121	46	19	31
yggW	659	244	286	164
sgcB	5	1	3	3
yidR	258	101	66	73
cbrA	31	8	9	11
dgoT	37	31	17	9
dgoD	50	39	102	275
dgoA	15	14	16	12
gmk	1599	568	554	433
dgoR	98	62	42	33
yidX	76	48	25	33
agaI	64	24	18	14
rffA	799	214	333	162
apaG	536	126	246	113
apaH	425	109	162	87
yraH	22	13	17	10
kefF	62	38	28	24
yaaU	53	42	19	25
folA	527	160	179	119
kefC	204	111	104	89
fixB	28	9	7	7
fixA	12	3	7	8
fixX	5	5	3	3
fixC	42	39	20	14
rtcA	118	73	68	64
yraJ	59	37	30	32
aspA	4419	996	2373	741
yraK	28	17	20	10
rsmI	285	118	107	88
yfbP	24	46	9	26
lpoA	1558	684	686	463
yfbO	11	11	7	6
yraN	296	140	151	126
yfbN	9	8	1	5
yidF	56	28	105	33
yjaB	43	14	15	8
yfbM	13	17	8	5
yqcG	6	2	1	0
ygcG	21	12	9	9
aceK	571	611	290	564
yidG	38	15	30	14
ygcW	10	5	9	2
nuoK	571	379	384	323
ygcE	66	41	22	21
queE	411	127	179	112
ygcQ	78	37	27	31
ygcR	39	39	40	41
ygcS	18	23	10	18
fepE	12	13	4	6
nuoM	3423	2792	1942	2000
nuoN	4164	3362	2267	2674
ilvN	34	340	35	143
frvB	43	16	11	8
hisC	125	110	57	86
nuoJ	1083	811	682	506
yjjX	186	82	71	68
glk	285	323	148	268
fryB	1	5	4	1
tap	3532	2852	826	1933
tar	5409	3658	1300	2357
cheW	2136	843	507	648
cheA	7077	3477	1671	2446
cheZ	2221	1102	559	745
cheY	1266	683	412	555
cheB	1322	800	406	591
cheR	1238	870	280	642
motB	1874	1349	386	876
motA	2211	2278	440	1366
mocA	35	8	19	6
ygfK	246	124	52	45
ssnA	113	70	34	33
ygfM	27	7	10	6
xdhD	291	93	144	101
xanQ	172	95	130	246
guaD	82	28	38	24
insL-2	0	0	0	0
ygfS	86	34	18	20
ygfT	133	79	44	45
serB	685	371	305	201
ilvY	192	74	68	50
dcuA	2391	989	948	646
yeaX	26	17	5	11
rnd	433	188	168	136
ycjO	18	8	6	3
ycjP	11	3	3	5
creA	306	168	99	114
glnL	306	157	153	120
glnG	359	167	154	141
pspB	73	57	27	65
pspC	62	60	29	79
pspF	95	61	43	60
pspA	306	161	115	225
ycjM	37	24	22	36
ycjN	31	14	25	13
pspD	35	19	14	31
pspE	285	89	179	167
ybdZ	14	7	8	2
insA-7	47	26	20	23
yibN	1394	389	519	285
tolQ	1020	432	328	299
ybgC	671	288	139	229
yagX	103	68	63	57
yagW	97	58	53	62
mngR	92	48	44	34
sucD	4905	3777	2987	2359
mngB	217	159	83	86
mngA	37	21	28	27
cydB	5818	952	1654	628
cydA	8424	1057	2647	828
ybgE	910	182	326	127
ybgT	582	90	157	71
ydhB	131	100	44	55
chpB	305	333	188	291
chpS	44	21	27	25
ytfP	751	474	236	338
secB	2689	953	1065	685
cynX	59	33	16	27
cynS	17	18	14	6
cvrA	559	271	175	261
ldcA	223	118	60	99
dadA	2196	3197	993	1763
codB	325	68	96	38
fadR	669	245	265	241
ycgB	51	70	27	42
dsbB	806	444	241	325
nhaB	1421	835	574	538
prpE	46	26	15	19
prpD	23	10	16	9
lldR	197	120	72	47
frdB	310	142	130	62
yafV	138	84	72	78
ydhS	47	49	16	20
lrp	1039	1074	507	692
trxB	4622	952	1417	728
cydD	734	229	297	166
cydC	951	338	339	221
serS	4865	2429	1827	1652
rarA	724	134	258	138
lolA	558	112	193	99
ftsK	3492	1049	1384	825
dmsB	36	20	23	14
dmsA	214	58	99	46
phnG	3	6	2	0
rluE	211	54	66	52
nudJ	132	48	48	56
frdC	150	74	67	34
pepT	426	298	242	198
potA	1173	397	519	286
phoQ	776	418	295	414
ycfD	1300	648	443	420
purB	2302	437	707	378
phoP	467	351	224	261
mnmA	1910	832	698	637
hflD	896	327	352	281
idnK	22	7	9	7
idnD	23	18	16	11
idnO	41	32	10	20
yjeA	211	74	133	73
idnT	50	39	36	31
fimI	97	142	64	102
idnR	101	59	37	33
citD	12	10	4	92
citE	3	2	4	5
dpiB	123	70	50	54
citC	28	12	30	13
dcuC	86	55	59	54
dpiA	66	37	29	23
cspE	15412	9181	7733	5352
pagP	62	39	5	9
crcB	175	83	53	57
rayT	38	30	16	17
nudI	92	43	14	37
ais	5	27	7	10
frdA	1201	363	458	146
mobA	111	49	39	32
yjdK	15	3	6	4
yjdO	8	2	2	1
mglA	597	682	489	492
yjdI	8	10	3	7
yjdJ	24	15	9	6
yadH	257	151	128	81
yadG	329	159	142	120
yadE	131	59	54	52
yadI	63	34	35	13
gcd	898	555	346	451
cueO	286	154	92	106
can	3448	1262	995	815
hpt	1672	449	592	337
bcr	524	628	242	485
rsuA	513	637	194	531
yadD	102	41	36	30
panD	1687	999	650	630
yggT	541	229	186	150
speA	10785	2377	4858	1824
yedZ	26	19	7	19
zinT	26	9	9	10
hyfE	6	13	9	6
hyfF	46	46	16	46
yggR	44	34	16	21
yqgB	600	110	207	72
hyfA	9	5	1	11
hchA	180	329	37	250
yedR	55	28	6	29
hyfD	23	14	12	11
hiuH	13	8	3	7
yedY	101	85	15	35
yedV	107	57	53	47
yedW	102	61	48	34
hypC	73	14	39	18
hypD	467	211	215	169
dsbA	1805	435	573	344
hycD	50	42	34	43
lepB	3281	1416	1477	1002
hycF	29	17	11	5
hycE	81	35	29	43
hypA	63	14	73	9
hypB	274	62	220	39
hycB	18	3	5	4
hycA	11	2	5	10
uspB	77	56	37	32
uspA	1810	742	634	427
dtpB	352	119	168	149
prmC	367	157	184	156
insD-6	1	0	0	0
endA	125	26	42	26
yhdE	519	150	257	150
rng	1223	439	628	429
rsmE	578	165	232	118
yhcO	27	16	11	20
yhcN	341	181	114	230
aaeA	39	23	12	24
aaeB	154	99	58	70
aaeR	203	113	71	86
aaeX	5	3	1	5
yhdP	1077	419	512	377
tldD	1163	478	429	357
yjhB	60	35	25	21
mrp	2238	1852	900	1294
metG	2567	2787	1102	1903
yehD	14	13	6	2
yehE	36	69	11	46
yehB	65	61	17	55
yehC	6	7	1	2
rcnB	318	249	87	194
yehA	4	9	2	6
rcnR	35	35	13	17
rcnA	28	28	12	33
eutR	67	58	30	54
eutK	92	118	21	45
amiA	379	489	136	335
hemF	296	391	138	290
yfeZ	139	137	41	97
ypeA	184	226	55	123
yfeX	1073	581	374	509
yfeY	407	365	94	255
murP	136	71	96	60
yfeW	104	95	58	73
ydcI	137	461	85	274
trg	750	697	236	441
yidC	10437	3082	4566	2328
mokB	151	168	73	120
hokB	122	129	66	123
ydcA	51	35	25	22
dnaA	1753	1095	886	858
cybB	403	344	150	168
tnaC	21	6	22	4
sspA	3702	1379	1313	1056
opgD	651	517	249	325
ydcJ	52	36	18	26
ybiO	79	46	31	64
sspB	2477	903	891	646
yhaL	88	65	44	24
ypdI	5	5	0	2
glnQ	428	457	173	310
yhaH	222	182	62	111
yqjG	89	59	50	51
yhaJ	464	277	159	192
yfdY	22	65	20	34
yqjE	330	246	152	222
glnP	300	397	114	234
yqjF	19	11	14	7
yqjK	315	215	121	185
lpxP	50	109	23	65
yidQ	215	107	88	72
glnH	711	700	263	421
ypdK	75	27	21	42
dps	632	325	194	293
yidK	37	18	19	14
yidJ	40	32	40	34
ibpB	548	155	156	225
yidE	391	147	174	110
yidP	31	17	12	4
rhtA	119	94	44	55
ilvH	45	48	16	20
cra	573	424	311	279
ompX	17087	3654	7254	3722
setA	170	93	58	67
leuD	80	830	36	270
leuC	134	1621	66	541
leuB	140	1480	62	433
leuA	110	1459	42	522
leuL	166	313	74	165
leuO	30	22	11	19
ilvI	181	144	85	87
wzxE	662	222	245	166
ydiY	597	174	326	230
yshB	1489	553	342	350
groL	48706	5735	16522	7348
zraS	154	78	111	79
zraP	7	2	4	4
yjaH	906	366	291	219
hupA	6866	2900	2322	1647
purH	740	151	155	113
ygcP	19	11	10	10
ygcO	12	10	4	8
ygcN	192	80	82	61
queD	529	259	173	149
cysJ	383	833	272	582
cysI	527	806	335	511
cysH	238	254	111	189
ygcB	107	89	56	55
casA	64	34	9	31
hemN	1036	421	383	366
yjhC	130	43	59	43
actP	82	145	45	79
yjfY	18	7	5	7
kdgT	66	50	30	33
psd	868	375	334	246
yihI	777	143	267	132
flhE	279	150	127	118
yecT	21	9	8	6
argS	2323	1044	950	672
yecM	218	172	102	158
cutC	374	254	127	173
torY	49	29	3	3
torZ	90	63	46	54
cmoB	400	180	187	106
sodA	6377	908	2522	1261
flhB	1734	1644	612	1123
flhA	1825	1228	728	807
lysS	10476	2206	5238	1743
uidR	135	60	53	44
yqfG	5	0	1	2
ygfU	20	23	19	5
xerD	1023	236	391	163
dsbC	1146	234	467	158
recJ	2710	587	1156	432
prfB	6555	1114	3050	954
ygfX	630	191	310	136
fldB	1208	187	429	166
rsmD	235	96	77	66
ftsY	1727	636	622	492
yhhK	150	64	74	59
livK	55	47	32	40
yhjG	1210	864	247	677
yihA	875	193	275	158
rpoH	2158	897	632	641
livJ	74	44	25	30
pstA	314	120	92	98
fdoI	2577	1207	1206	874
fdoH	3782	2071	1880	1234
sdaA	1199	731	419	506
nudL	497	243	234	447
puuE	17	25	18	16
puuB	24	24	13	22
fdoG	15147	8000	7187	4838
fdhD	288	140	76	86
puuD	59	80	19	100
puuA	73	158	20	96
puuC	40	35	24	52
puuR	108	83	27	103
sapA	829	319	318	415
sapB	380	115	150	169
puuP	127	66	82	82
ymjA	77	39	24	40
bglB	97	54	52	61
polA	1987	732	759	467
insI-3	0	0	0	0
insB-3	0	0	0	0
insA-3	0	0	0	0
yagK	69	57	23	40
yagL	14	4	4	6
yagM	39	32	21	14
yagN	1	0	2	7
intF	25	15	15	9
bglF	101	44	45	24
bglG	24	15	9	15
yihG	178	96	68	86
rfaP	347	96	129	91
ycgR	1312	1041	305	805
emtA	470	228	156	310
ycgY	10	9	4	7
ymgE	7	10	3	4
dhaM	827	119	606	127
treA	69	52	30	39
dhaK	559	86	596	81
dhaL	340	51	248	44
