gene	jh46	jh47	jh63	jh64
malP	1467	135	1251	306
malQ	955	145	688	199
fdnG	879	111	1314	93
yddG	134	93	52	73
gntX	487	150	222	107
bioH	237	102	74	69
yhgA	75	62	39	62
feoC	133	53	93	54
feoB	1374	384	815	311
feoA	199	67	142	30
yiaC	48	26	19	21
tag	95	56	39	40
yhjY	34	48	16	35
yhjX	173	184	144	116
eptB	306	93	122	86
yheO	620	229	203	159
dppA	380	484	244	259
dppB	76	97	37	50
fkpA	3567	870	1253	676
yiaD	605	102	281	91
bisC	567	291	204	223
ytjC	538	295	275	182
amiB	760	364	295	267
trpR	183	48	55	48
slt	497	242	188	161
yjjK	5478	1589	2237	1191
nadR	532	248	221	181
radA	753	390	304	234
ypfG	74	164	33	112
maeB	1466	1609	675	842
ypdE	33	33	20	37
frdD	149	79	56	33
talA	76	157	34	119
eutP	6	10	2	7
yhbP	54	56	27	12
ybhB	246	83	120	85
slyD	6308	1646	2746	1284
eutT	15	24	5	9
ybhC	2156	778	890	486
eutQ	24	18	12	7
fryA	117	104	26	72
ybiR	310	108	118	89
yqiK	41	25	23	14
bioA	174	49	227	49
insC-5	0	0	0	0
ybiY	13	6	7	4
ygiL	23	4	9	12
yqiC	381	156	160	97
glgS	73	32	39	17
yqiI	29	6	8	6
yqiH	16	11	15	9
ybhD	22	17	12	7
slyX	268	149	83	71
argR	918	264	306	204
mdh	6103	5217	3410	3530
ybhJ	83	73	40	60
rplM	20113	8529	10652	5887
rpsI	19543	8805	10796	5818
fryC	22	23	10	13
ybiU	150	85	49	39
degS	449	219	136	129
degQ	582	309	210	233
yhcB	1112	473	360	326
yhcM	364	215	125	136
dxs	1844	820	895	591
mutT	101	33	28	16
yacG	174	78	72	55
yjcO	223	117	78	76
ispA	1171	442	457	371
ftsQ	977	390	426	288
ftsA	1996	857	864	648
murC	1540	606	742	416
ddlB	1048	426	530	270
secM	925	338	436	260
secA	4981	1639	2417	1343
ftsZ	3814	1500	1585	995
lpxC	7384	4278	3228	3219
yoaF	73	49	1	38
thiI	1429	451	648	332
ypdF	53	40	17	30
nusB	1749	473	672	381
thiL	673	151	250	157
rmuC	178	74	112	57
pgpA	455	168	203	131
yajO	239	128	116	102
yoaI	4	3	0	3
metF	71	114	20	95
yijF	11	11	15	5
yijE	76	32	38	23
ppdA	21	10	7	3
ppdB	39	24	9	21
ypdA	243	148	119	143
insH-11	0	0	0	0
recC	1444	649	578	405
ptrA	1534	610	578	508
ygdB	41	27	15	19
ppdC	90	50	35	40
argA	230	161	89	133
amiC	2313	1425	679	1014
recB	1994	428	710	382
chbR	35	16	14	8
yeaK	178	107	3	77
ymiA	92	55	15	44
cysB	454	322	149	302
yhfT	57	39	28	27
alaC	239	569	91	419
yohO	57	64	25	38
yciQ	205	121	79	158
yciO	489	235	168	278
btuR	208	122	61	100
rluB	888	730	565	652
sohB	941	369	347	461
yciK	347	191	117	197
topA	4740	2218	1828	2327
yciN	656	221	224	312
yjbL	2	2	2	0
yjbM	11	11	5	3
lexA	1017	455	394	366
kefG	107	93	65	97
yjbJ	196	150	65	121
zur	186	78	76	50
yeaM	57	54	6	33
ubiA	419	211	146	153
plsB	3254	670	1128	573
yhiI	516	288	155	206
tusA	223	95	66	79
ypdC	131	129	69	112
yhhQ	99	187	53	110
yhhN	262	139	87	77
zntA	1365	357	308	248
yhhT	40	22	19	18
yeaL	61	31	2	33
acpT	286	108	98	101
ypdB	169	157	62	113
dcrB	1501	477	521	376
yhhS	309	143	130	116
ysgA	60	91	29	62
udp	1244	369	759	275
ycjF	698	170	191	260
ycjX	979	213	218	367
yigP	878	282	300	186
dkgB	229	59	73	43
yafC	124	66	54	43
yafD	354	246	137	204
yafE	117	71	75	65
mltD	2082	1673	762	1190
ycjR	84	78	33	148
ycjQ	34	21	15	21
ycjW	131	53	43	73
ompG	29	31	9	36
ycjU	12	13	5	10
insB-6	0	0	0	0
mobB	107	59	36	42
mltF	378	134	102	120
yliE	343	62	96	51
yliF	169	19	75	35
gsiC	155	86	55	54
gsiD	147	58	48	75
gsiA	523	363	215	270
gsiB	388	164	125	142
moeA	901	311	430	256
iaaA	400	373	166	280
rimO	861	342	442	289
bssR	50	18	49	19
cysA	206	750	92	405
purL	4084	782	980	597
yieP	413	127	142	81
birA	529	180	234	129
alsE	14	15	12	14
yicS	7	6	8	8
cysM	182	422	98	249
queC	569	214	218	154
ybaE	399	296	182	208
yahO	42	48	11	49
prpR	31	28	15	38
rsmG	304	111	148	108
mutM	349	82	104	80
yahK	143	106	51	73
yahL	7	12	4	5
yahM	19	14	9	12
yahN	55	34	67	38
yahF	30	13	16	27
yahG	28	11	12	11
yahI	47	35	33	37
yahJ	211	91	76	70
yadS	169	76	67	53
btuF	360	105	156	102
mtn	1691	555	720	467
dgt	267	143	99	92
fhuB	267	96	198	89
hemL	2730	1158	1092	833
clcA	568	203	217	171
erpA	935	608	273	342
yicR	536	194	249	140
ccmH	145	125	64	96
narP	451	442	202	289
degP	2575	550	489	315
cdaR	270	192	94	112
dfp	1904	510	562	348
fklB	1727	583	774	368
pheM	55	58	29	41
rplT	21394	11245	12754	8430
prlC	3065	547	958	601
btuC	261	110	97	92
ihfA	1931	1589	776	988
pheT	5556	3415	2907	1879
pheS	2077	1115	1089	731
cdgR	67	23	23	15
nlpC	233	201	84	95
btuD	220	146	110	120
btuE	196	131	58	75
fis	1199	556	592	365
ycgN	172	80	46	40
hlyE	31	17	6	8
dusB	2687	1560	1679	1157
minD	1960	867	676	518
minC	762	456	285	312
minE	593	241	217	137
ycgL	332	157	88	99
ycgM	389	287	128	153
ycgJ	89	51	36	17
pliG	75	52	25	24
sfmD	50	32	17	20
sfmH	46	34	16	6
sfmA	16	8	8	6
sfmC	25	13	18	19
ybcJ	374	139	141	89
folD	1065	311	460	236
cysS	1935	705	726	532
ybcI	17	10	7	14
acrE	42	29	22	60
ppc	2226	1813	803	1151
sfmF	13	12	8	11
fimZ	18	12	6	7
gtrS	1238	128	321	152
atoS	42	44	23	24
lgt	1660	469	575	367
gntK	60	31	68	17
atoC	62	40	16	34
fadL	1452	669	753	635
yfcZ	930	306	543	253
mlaA	1357	1269	466	713
yfdF	91	38	28	44
rcsB	1455	1644	562	1031
gtrA	409	256	100	178
intS	232	118	81	72
ygiV	27	12	10	5
rcsC	540	655	207	485
pflC	31	14	18	11
