	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ibsD	19.3760616673368	-0.103540085727594	0.699290217164231	-0.14806454199727	0.882291832341039	NA
rseC	245.290405353798	-0.544392279938721	0.342132944897576	-1.5911717595676	0.11157092652668	0.256843965355485
rfaE	750.241735919105	-0.825334238309463	0.223731329699193	-3.68895245658767	0.000225179289202477	0.00199942660202619
glnE	402.463521584315	-0.182983263359599	0.255843922743969	-0.715214422125305	0.474476558720399	0.658930294807516
ygiF	194.501895120511	-0.223946142035433	0.316325182388179	-0.707961789019432	0.478968986839702	0.662686086105651
ygiM	189.704215798966	-0.903431227620262	0.378077365365922	-2.3895406347478	0.0168694576166592	0.0629841406040907
nanR	138.607871221886	-0.109737920872953	0.316701876057967	-0.346502276017042	0.728965274020171	0.854360553760104
dcuD	30.6281018512248	0.318983401469859	0.556691707078878	0.572998299442355	0.566645845403779	0.740998413220327
yjhG	77.6688107359355	0.420387724964408	0.451047098114914	0.932026226798393	0.351322971642619	0.545695873768127
cpdB	229.479863025999	-0.279728980923138	0.282329559540555	-0.990788854622063	0.321788692667886	0.515685053195386
insH-10	0	NA	NA	NA	NA	NA
yhcF	50.9197142362819	-0.0162809154635713	0.50714138389067	-0.0321033068503855	0.974389666285789	0.98752553656226
yhcG	140.016192266584	0.414020298537205	0.384226131757822	1.07754331191134	0.281237612042923	0.471470189068984
yhcH	27.5534932178732	0.225929383141742	0.602232419121295	0.375153140163711	0.707546578025298	0.838987056943422
nanK	50.2440485395626	-0.336469934141273	0.462193247869478	-0.727985395053395	0.466622526709628	0.653124734917845
nanE	34.484304226102	-0.41586879844309	0.543797411127131	-0.764749500335276	0.444420724013923	0.635282837574237
nanT	55.4190850962673	-0.224990473671792	0.491411814813007	-0.45784506373215	0.647063757599277	0.797746607856543
nanA	77.9652223816477	-0.951533527998297	0.404651636769869	-2.351488148161	0.018698485291811	0.0678722915688805
ibpA	279.043436546952	-0.431014893472772	0.376338651573067	-1.14528468354543	0.252091248586488	0.439462372572355
